name, alternative_name, description, type, total_caps, total_seasons, actual_season, actual_episode, status
Sono Bisque Doll wa Koi wo suru,My Dress-Up Darling,Romcom de una cosplayer y un creador de muñequas,anime,24,2,2,24,completo
Kaoru Hana wa Rin to Saku,,,anime,0,0,0,0,
Dandadan,,,anime,24,2,2,12,
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,,,anime,12,1,1,12,
Nozomanu Fushi no Boukensha,,,anime,12,1,1,12,
Kimi wa Houkago Insomnia,,,anime,13,1,1,13,
"Mikadono Sanshimai wa Angai Choroi",,,anime,12,1,1,12,
"Katainaka no Ossan Kensei ni Naru",,,anime,12,1,1,12,
Kanpeki Sugite Kawaigeganai to Konyaku Haki Sareta Seijo wa Ringoku ni Urareru,,,anime,12,1,1,12,
SPY×FAMILY,,,anime,24,2,2,11,
Kyokou Suiri,,,anime,12,1,1,8,
